gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
912712153	StillImage	image/jpeg	http://www.kew.org/herbcatimg/624289.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912712098	StillImage	image/jpeg	http://www.kew.org/herbcatimg/624292.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912712141	StillImage	image/jpeg	http://www.kew.org/herbcatimg/624283.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912712122	StillImage	image/jpeg	http://www.kew.org/herbcatimg/624296.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912712129	StillImage	image/jpeg	http://www.kew.org/herbcatimg/624284.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912710631	StillImage	image/jpeg	http://www.kew.org/herbcatimg/637506.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912712168	StillImage	image/jpeg	http://www.kew.org/herbcatimg/624288.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912712150	StillImage	image/jpeg	http://www.kew.org/herbcatimg/624297.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912712172	StillImage	image/jpeg	http://www.kew.org/herbcatimg/624295.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912712196	StillImage	image/jpeg	http://www.kew.org/herbcatimg/624290.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912712157	StillImage	image/jpeg	http://www.kew.org/herbcatimg/624294.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912712130	StillImage	image/jpeg	http://www.kew.org/herbcatimg/624282.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912416105	StillImage	image/jpeg	http://www.kew.org/herbcatimg/186215.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912415745	StillImage	image/jpeg	http://www.kew.org/herbcatimg/182993.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
